Area Code,State,Market,Market Size,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,ProductId,Date,Product Type,Product,Type
203,Connecticut,East,Small Market,107,176,292,116,69,38,962,110,110,160,270,2,04-01-2010 00:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,75,135,225,90,60,29,1148,90,80,130,210,2,07-01-2010 00:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,122,195,325,130,73,42,1134,130,110,180,290,2,11-01-2010 00:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,105,174,289,115,69,37,1166,110,100,160,260,2,12-01-2010 00:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,104,135,223,90,56,29,1148,90,80,130,210,2,07-01-2011 00:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,104,135,223,90,56,29,1139,90,80,130,210,2,08-01-2011 00:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,135,155,275,103,64,33,1130,110,90,150,240,2,09-01-2011 00:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,171,188,334,125,73,41,1119,130,100,160,260,2,10-01-2011 00:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,181,195,346,130,73,42,1134,130,110,180,290,2,11-01-2011 00:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,15,31,51,20,16,5,804,20,20,30,50,13,06-01-2010 00:00,Tea,Green Tea,Regular
203,Connecticut,East,Small Market,33,54,90,36,21,10,809,40,30,60,90,13,11-01-2010 00:00,Tea,Green Tea,Regular
203,Connecticut,East,Small Market,17,28,47,19,15,5,811,20,20,30,50,13,08-01-2011 00:00,Tea,Green Tea,Regular
203,Connecticut,East,Small Market,27,36,64,24,18,6,806,40,20,40,60,13,10-01-2011 00:00,Tea,Green Tea,Regular
203,Connecticut,East,Small Market,49,54,96,36,21,10,809,40,30,60,90,13,11-01-2011 00:00,Tea,Green Tea,Regular
203,Connecticut,East,Small Market,-2,75,128,53,77,48,597,10,50,70,120,5,06-01-2010 00:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,1,84,144,60,83,54,606,40,40,90,130,5,10-01-2010 00:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,2,86,147,61,84,55,613,10,60,80,140,5,11-01-2010 00:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,11,105,201,75,103,68,522,20,70,100,170,5,01-01-2011 00:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,4,90,165,65,87,58,513,20,60,90,150,5,02-01-2011 00:00,Espresso,Caffe Mocha,Regular
